date,cumulative_tests,cumulative_tests_pos,percent_positive_tests_cum,tests,tests_pos,percent_positive_tests,avg_tests,avg_pos_tests,percent_positive_avg_tests,year,month,day
2021-10-02,31283474,1740508,0.055999999999999994,814,29,0.036000000000000004,87437.0,1110.0,0.013000000000000001,2021,10,2
2021-10-01,31282660,1740479,0.055999999999999994,67027,783,0.012,91997.0,1265.0,0.013999999999999999,2021,10,1
2021-09-30,31215633,1739696,0.055999999999999994,130159,1336,0.01,106554.0,1396.0,0.013000000000000001,2021,9,30
2021-09-29,31085474,1738360,0.055999999999999994,155981,1587,0.01,116476.0,1443.0,0.012,2021,9,29
2021-09-28,30929493,1736773,0.055999999999999994,131566,1526,0.012,120689.0,1482.0,0.012,2021,9,28
2021-09-27,30797927,1735247,0.055999999999999994,106622,1798,0.017,127073.0,1546.0,0.012,2021,9,27
2021-09-26,30691305,1733449,0.055999999999999994,19888,712,0.036000000000000004,135755.0,1614.0,0.012,2021,9,26
2021-09-25,30671417,1732737,0.055999999999999994,32735,1115,0.034,136149.0,1611.0,0.012,2021,9,25
2021-09-24,30638682,1731622,0.057,168926,1696,0.01,136660.0,1625.0,0.012,2021,9,24
2021-09-23,30469756,1729926,0.057,199612,1666,0.008,137134.0,1653.0,0.012,2021,9,23
2021-09-22,30270144,1728260,0.057,185474,1858,0.01,121487.0,1689.0,0.013999999999999999,2021,9,22
2021-09-21,30084670,1726402,0.057,176256,1974,0.011000000000000001,126246.0,1741.0,0.013999999999999999,2021,9,21
2021-09-20,29908414,1724428,0.057999999999999996,167393,2275,0.013999999999999999,128941.0,1786.0,0.013999999999999999,2021,9,20
2021-09-19,29741021,1722153,0.057999999999999996,22645,691,0.031,137207.0,1840.0,0.013000000000000001,2021,9,19
2021-09-18,29718376,1721462,0.057999999999999996,36313,1212,0.033,137327.0,1865.0,0.013999999999999999,2021,9,18
2021-09-17,29682063,1720250,0.057999999999999996,172244,1896,0.011000000000000001,137724.0,1911.0,0.013999999999999999,2021,9,17
2021-09-16,29509819,1718354,0.057999999999999996,90087,1918,0.021,139662.0,2010.0,0.013999999999999999,2021,9,16
2021-09-15,29419732,1716436,0.057999999999999996,218786,2220,0.01,158222.0,2125.0,0.013000000000000001,2021,9,15
2021-09-14,29200946,1714216,0.059000000000000004,195119,2292,0.012,160064.0,2210.0,0.013999999999999999,2021,9,14
2021-09-13,29005827,1711924,0.059000000000000004,225257,2653,0.012,152961.0,2325.0,0.015,2021,9,13
2021-09-12,28780570,1709271,0.059000000000000004,23483,862,0.037000000000000005,125639.0,2147.0,0.017,2021,9,12
2021-09-11,28757087,1708409,0.059000000000000004,39095,1536,0.039,125390.0,2146.0,0.017,2021,9,11
2021-09-10,28717992,1706873,0.059000000000000004,185804,2592,0.013999999999999999,124964.0,2171.0,0.017,2021,9,10
2021-09-09,28532188,1704281,0.06,220012,2721,0.012,110352.0,2141.0,0.019,2021,9,9
2021-09-08,28312176,1701560,0.06,231681,2815,0.012,107818.0,2173.0,0.02,2021,9,8
2021-09-07,28080495,1698745,0.06,145398,3097,0.021,104999.0,2199.0,0.021,2021,9,7
2021-09-06,27935097,1695648,0.061,34002,1409,0.040999999999999995,112405.0,2204.0,0.02,2021,9,6
2021-09-05,27901095,1694239,0.061,21741,854,0.039,139140.0,2510.0,0.018000000000000002,2021,9,5
2021-09-04,27879354,1693385,0.061,36112,1708,0.047,139589.0,2560.0,0.018000000000000002,2021,9,4
2021-09-03,27843242,1691677,0.061,83519,2385,0.028999999999999998,140464.0,2608.0,0.019,2021,9,3
2021-09-02,27759723,1689292,0.061,202272,2940,0.015,154556.0,2735.0,0.018000000000000002,2021,9,2
